"";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow"
"1";0,1071;0,5717;0,9079;0,9877;0,9991;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"2";0,0964;0,7881;0,9932;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"3";0,0978;0,9325;0,9998;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"4";0,0988;0,9812;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
