"";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow"
"1";0,0991;0,1573;0,2248;0,3125;0,4032;0,5105;0,6084;0,6972;0,7764;0,8428;0,8854;0,9243;0,9517;0,9658;0,9794;0,9883;0,9928;0,996;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"2";0,0967;0,1828;0,2868;0,4425;0,5813;0,7095;0,819;0,8955;0,9437;0,9742;0,9896;0,9944;0,9984;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"3";0,1058;0,2159;0,3791;0,5827;0,7556;0,8861;0,9509;0,9815;0,995;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"4";0,1058;0,2375;0,4556;0,6902;0,8648;0,9582;0,9878;0,9978;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
