"Source" "stat_id" "Statistic" "df1" "df2" "Value" "Reported.P.Value" "Computed" "Raw"
"1719" 101 1719 "t" "341" NA "2.62" 0.009 0.009186107 "t(341) = 2.62, p = .009"
"1720" 101 1720 "t" "341" NA "1.49" 0.14 0.137148577 "t(341) = 1.49, p = .14"
"1721" 101 1721 "F" "2" "342" "4.9" 0.008 0.007977675 "F(2, 342) = 4.90, p = .008"
"1722" 101 1722 "t" "342" NA "2.2" 0.03 0.02847529 "t(342) = 2.20, p = .03"
"1723" 101 1723 "F" "1" "341" "1.44" 0.23 0.230972373 "F(1, 341) = 1.44, p = .23"
"1724" 101 1724 "t" "342" NA "2.56" 0.01 0.010896432 "t(342) = 2.56, p = .01"
"1725" 101 1725 "t" "342" NA "1.39" 0.16 0.165432917 "t(342) = 1.39, p = .16"
"1726" 101 1726 "F" "2" "340" "5.51" 0.004 0.004415698 "F(2, 340) = 5.51, p = .004"
"1727" 101 1727 "F" "1" "339" "0.52" 0.47 0.471338686 "F(1, 339) = 0.52, p = .47"
"1728" 102 1728 "F" "1" "1501" "7.94" 0.01 0.004898766 "F(1, 1501) = 7.94, p < .01"
"1729" 102 1729 "F" "2" "1500" "46.61" 0.01 2.3e-20 "F(2, 1500) = 46.61, p < .01"
"1730" 102 1730 "F" "2" "752" "40.77" 0.001 1.55e-17 "F(2, 752) = 40.77, p < .001"
"1731" 102 1731 "F" "2" "745" "15.9" 0.001 1.73e-07 "F(2, 745) = 15.90, p < .001"
"1732" 102 1732 "F" "1" "272" "26.81" 0.001 4.37e-07 "F(1, 272) = 26.81, p < .001"
"1733" 102 1733 "F" "1" "272" "7.17" 0.01 0.007864128 "F(1, 272) = 7.17, p < .01"
"1734" 102 1734 "F" "1" "133" "1.67" 0.2 0.198499313 "F(1, 133) = 1.67, p > .20"
"1735" 102 1735 "F" "1" "4241" "234.14" 1e-04 1.73e-51 "F(1, 4241) = 234.14, p < .0001"
"1736" 102 1736 "F" "1" "4192" "156.95" 1e-04 2.24e-35 "F(1, 4192) = 156.95, p < .0001"
"1737" 103 1737 "F" "1" "92" "2.55" 0.11 0.113723592 "F(1, 92) = 2.55, p = .11"
"1738" 103 1738 "F" "1" "92" "8.9" 0.01 0.003651007 "F(1, 92) = 8.90, p < .01"
"1739" 103 1739 "F" "1" "92" "93.94" 0.001 1.01e-15 "F(1, 92) = 93.94, p < .001"
"1740" 103 1740 "F" "1" "92" "25" 0.001 2.73e-06 "F(1, 92) = 25.00, p < .001"
"1741" 103 1741 "F" "1" "92" "4.7" 0.05 0.032743454 "F(1, 92) = 4.70, p < .05"
"1742" 103 1742 "F" "1" "92" "0.26" 0.62 0.611341244 "F(1, 92) = 0.26, p = .62"
"1743" 103 1743 "F" "1" "92" "19.06" 0.001 3.31e-05 "F(1, 92) = 19.06, p < .001"
"1744" 103 1744 "F" "1" "92" "16.12" 0.001 0.000121178 "F(1, 92) = 16.12, p < .001"
"1745" 103 1745 "F" "1" "92" "0.09" 0.76 0.76485395 "F(1, 92) = 0.09, p = .76"
"1746" 103 1746 "F" "2" "192" "0.23" 0.8 0.794752194 "F(2, 192) = 0.23, p = .80"
"1747" 103 1747 "F" "4" "384" "1.52" 0.2 0.19558944 "F(4, 384) = 1.52, p = .20"
"1748" 103 1748 "F" "2" "388" "8.12" 0.001 0.000351021 "F(2, 388) = 8.12, p < .001"
"1749" 103 1749 "F" "1" "194" "3.92" 0.05 0.049128746 "F(1, 194) = 3.92, p < .05"
"1750" 103 1750 "F" "1" "194" "28.12" 0.001 3.09e-07 "F(1, 194) = 28.12, p < .001"
"1751" 103 1751 "F" "2" "388" "11.13" 0.001 1.99e-05 "F(2, 388) = 11.13, p < .001"
"1752" 103 1752 "F" "1" "194" "6.77" 0.01 0.009985551 "F(1, 194) = 6.77, p < .01"
"1753" 103 1753 "F" "1" "194" "27.45" 0.001 4.18e-07 "F(1, 194) = 27.45, p < .001"
"1754" 103 1754 "t" "390" NA "2.63" 0.01 0.008876508 "t(390) = 2.63, p < .01"
"1755" 103 1755 "t" "390" NA "2.02" 0.05 0.044066661 "t(390) = 2.02, p < .05"
"1756" 103 1756 "t" "389" NA "22.68" 0.001 3.6e-73 "t(389) = 22.68, p < .001"
"1757" 103 1757 "t" "389" NA "1.68" 0.09 0.093760161 "t(389) = 1.68, p = .09"
"1758" 103 1758 "Z" NA NA "2.12" 0.05 0.034006045 " z = 2.12, p < .05"
"1759" 103 1759 "F" "2" "650" "1.06" 0.35 0.347053916 "F(2, 650) = 1.06, p = .35"
"1760" 103 1760 "F" "4" "1300" "1.44" 0.22 0.218475149 "F(4, 1300) = 1.44, p = .22"
"1761" 103 1761 "F" "2" "1302" "63.59" 0.001 4.47e-27 "F(2, 1302) = 63.59, p < .001"
"1762" 103 1762 "F" "1" "651" "13.91" 0.001 0.000208496 "F(1, 651) = 13.91, p < .001"
"1763" 103 1763 "F" "2" "1302" "3.41" 0.05 0.033336576 "F(2, 1302) = 3.41, p < .05"
"1764" 103 1764 "F" "1" "651" "73.05" 0.001 8.98e-17 "F(1, 651) = 73.05, p < .001"
"1765" 103 1765 "F" "1" "651" "107.06" 0.001 2.47e-23 "F(1, 651) = 107.06, p < .001"
"1766" 103 1766 "F" "2" "641" "0.72" 0.49 0.48714548 "F(2, 641) = 0.72, p = .49"
"1767" 103 1767 "F" "4" "1282" "1.23" 0.3 0.296192748 "F(4, 1282) = 1.23, p = .30"
"1768" 103 1768 "F" "2" "1284" "22.91" 0.001 1.67e-10 "F(2, 1284) = 22.91, p < .001"
"1769" 103 1769 "F" "1" "642" "0.002" 0.97 0.964343314 "F(1, 642) = 0.002, p = .97"
"1770" 103 1770 "F" "2" "1284" "1.51" 0.22 0.221301999 "F(2, 1284) = 1.51, p = .22"
"1771" 103 1771 "F" "1" "642" "37.22" 0.001 1.82e-09 "F(1, 642) = 37.22, p < .001"
"1772" 103 1772 "F" "1" "642" "29.04" 0.001 9.97e-08 "F(1, 642) = 29.04, p < .001"
"1773" 103 1773 "t" "1300" NA "5.4" 0.001 7.92e-08 "t(1300) = 5.40, p < .001"
"1774" 103 1774 "t" "1349" NA "8.44" 0.001 8.08e-17 "t(1349) = 8.44, p < .001"
"1775" 103 1775 "t" "1276" NA "15.12" 0.001 1.23e-47 "t(1276) = 15.12, p < .001"
"1776" 103 1776 "t" "1276" NA "1.22" 0.22 0.222690307 "t(1276) = 1.22, p = .22"
"1777" 103 1777 "Z" NA NA "7.33" 0.001 2.3e-13 " z = 7.33, p < .001"
"1778" 103 1778 "F" "2" "44" "668.57" 0.001 1.18e-33 "F(2, 44) = 668.57, p < .001"
"1779" 103 1779 "t" "44" NA "30.93" 0.001 1.72e-31 "t(44) = 30.93, p < .001"
"1780" 103 1780 "t" "44" NA "32.03" 0.001 3.95e-32 "t(44) = 32.03, p < .001"
"1781" 103 1781 "F" "2" "44" "454.46" 0.001 4.14e-30 "F(2, 44) = 454.46, p < .001"
"1782" 103 1782 "t" "44" NA "25.34" 0.001 7.03e-28 "t(44) = 25.34, p < .001"
"1783" 103 1783 "t" "44" NA "26.94" 0.001 5.57e-29 "t(44) = 26.94, p < .001"
"1784" 103 1784 "t" "16" NA "14.93" 0.001 8.2e-11 "t(16) = 14.93, p < .001"
"1785" 103 1785 "F" "2" "45" "3.73" 0.05 0.031706267 "F(2, 45) = 3.73, p < .05"
"1786" 103 1786 "t" "45" NA "2.42" 0.05 0.019621584 "t(45) = 2.42, p < .05"
"1787" 103 1787 "t" "45" NA "2.26" 0.05 0.028708859 "t(45) = 2.26, p < .05"
"1788" 103 1788 "F" "2" "45" "7" 0.01 0.002254817 "F(2, 45) = 7.00, p < .01"
"1789" 103 1789 "t" "45" NA "3.45" 0.001 0.001229108 "t(45) = 3.45, p = .001"
"1790" 103 1790 "t" "45" NA "3.45" 0.001 0.001229108 "t(45) = 3.45, p = .001"
"1791" 103 1791 "F" "2" "45" "0.41" 0.67 0.666104167 "F(2, 45) = 0.41, p = .67"
"1792" 103 1792 "F" "2" "45" "1.82" 0.17 0.173750602 "F(2, 45) = 1.82, p = .17"
"1793" 104 1793 "F" "1" "50" "6.18" 0.05 0.016306843 "F(1, 50) = 6.18, p < .05"
"1794" 104 1794 "F" "1" "25" "13.01" 0.01 0.001348978 "F(1, 25) = 13.01, p < .01"
"1795" 104 1795 "F" "1" "25" "0" 0.96 1 "F(1, 25) = 0.00, p = .96"
"1796" 104 1796 "t" "50" NA "5.61" 0.001 8.78e-07 "t(50) = 5.61, p < .001"
"1797" 104 1797 "t" "25" NA "3.34" 0.01 0.00263132 "t(25) = 3.34, p < .01"
"1798" 104 1798 "t" "25" NA "-4.52" 0.001 0.000129309 "t(25) = -4.52, p < .001"
"1799" 104 1799 "F" "1" "47" "3.71" 0.06 0.060147721 "F(1, 47) = 3.71, p = .06"
"1800" 104 1800 "F" "1" "24" "5.65" 0.05 0.025774587 "F(1, 24) = 5.65, p < .05"
"1801" 104 1801 "F" "1" "23" "0.01" 0.91 0.921210874 "F(1, 23) = .01, p = .91"
"1802" 104 1802 "t" "50" NA "3.81" 0.001 0.000381541 "t(50) = 3.81, p < .001"
"1803" 104 1803 "t" "48" NA "4.61" 0.001 3e-05 "t(48) = 4.61, p < .001"
"1804" 104 1804 "F" "2" "97" "5.52" 0.01 0.005365092 "F(2, 97) = 5.52, p < .01"
"1805" 104 1805 "F" "2" "97" "5.03" 0.01 0.00834657 "F(2, 97) = 5.03, p < .01"
"1806" 104 1806 "F" "2" "97" "7.52" 0.001 0.000920097 "F(2, 97) = 7.52, p < .001"
"1807" 104 1807 "F" "1" "98" "7.4" 0.01 0.007717682 "F(1, 98) = 7.40, p < .01"
"1808" 104 1808 "F" "1" "98" "5.85" 0.05 0.01742284 "F(1, 98) = 5.85, p < .05"
"1809" 104 1809 "r" "110" NA "0.23" 0.05 0.014704141 "r(110) = .23, p < .05"
"1810" 104 1810 "r" "44" NA "0.32" 0.05 0.03016027 "r(44) = .32, p < .05"
"1811" 104 1811 "r" "44" NA "0.33" 0.05 0.025108681 "r(44) = .33, p < .05"
"1812" 104 1812 "t" "34" NA "2.29" 0.05 0.028350084 "t(34) = 2.29, p < .05"
"1813" 104 1813 "F" "2" "398" "3.4" 0.05 0.034345598 "F(2, 398) = 3.40, p < .05"
"1814" 104 1814 "F" "1" "398" "0.41" 0.71 0.522337959 "F(1, 398) = 0.41, p = .71"
"1815" 104 1815 "F" "2" "398" "3.29" 0.05 0.038269584 "F(2, 398) = 3.29, p < .05"
"1816" 104 1816 "t" "394" NA "2.25" 0.05 0.0250001 "t(394) = 2.25, p < .05"
"1817" 104 1817 "t" "394" NA "2.16" 0.05 0.031375193 "t(394) = 2.16, p < .05"
"1818" 104 1818 "t" "394" NA "2.56" 0.01 0.010839389 "t(394) = 2.56, p = .01"
"1819" 104 1819 "t" "394" NA "3.34" 0.001 0.000917694 "t(394) = 3.34, p < .001"
"1820" 105 1820 "t" "1589" NA "2.38" 0.017 0.017430014 "t(1589) = 2.38, p = .017"
"1821" 105 1821 "t" "1589" NA "6.29" 0.001 4.09e-10 "t(1589) = 6.29, p < .001"
"1822" 105 1822 "t" "1589" NA "2.28" 0.022 0.022739674 "t(1589) = 2.28, p = .022"
"1823" 105 1823 "t" "1583" NA "1.98" 0.048 0.047876462 "t(1583) = 1.98, p = .048"
"1824" 105 1824 "t" "37" NA "2.1" 0.04 0.042605739 "t(37) = 2.10, p = .040"
"1825" 105 1825 "t" "37" NA "2.91" 0.01 0.006085293 "t(37) = 2.91, p = .01"
"1826" 105 1826 "t" "37" NA "-0.17" 0.86 0.865936277 "t(37) = -0.17, p = .86"
"1827" 105 1827 "t" "1716" NA "4.57" 0.001 5.23e-06 "t(1716) = 4.57, p < .001"
"1828" 105 1828 "t" "1716" NA "-0.88" 0.379 0.378982529 "t(1716) = -0.88, p = .379"
"1829" 105 1829 "t" "1716" NA "1.87" 0.061 0.061653966 "t(1716) = 1.87, p = .061"
"1830" 105 1830 "t" "1716" NA "2.29" 0.022 0.022142176 "t(1716) = 2.29, p = .022"
"1831" 105 1831 "t" "1716" NA "-0.77" 0.444 0.441405878 "t(1716) = -0.77, p = .444"
"1832" 105 1832 "t" "49" NA "2.16" 0.036 0.035692288 "t(49) = 2.16, p = .036"
"1833" 105 1833 "t" "49" NA "-1.35" 0.182 0.183219429 "t(49) = -1.35, p = .182"
"1834" 105 1834 "t" "49" NA "1.72" 0.093 0.091743346 "t(49) = 1.72, p = .093"
"1835" 105 1835 "t" "49" NA "2.62" 0.012 0.011673835 "t(49) = 2.62, p = .012"
"1836" 105 1836 "t" "49" NA "2.03" 0.048 0.047804034 "t(49) = 2.03, p = .048"
"1837" 106 1837 "F" "1" "32" "6.31" 0.05 0.017244905 "F(1, 32) = 6.31, p < .05"
"1838" 106 1838 "t" "66" NA "5.18" 0.001 2.27e-06 "t(66) = 5.18, p < .001"
"1839" 106 1839 "t" "54" NA "2.16" 0.05 0.03522992 "t(54) = 2.16, p < .05"
"1840" 106 1840 "t" "66" NA "5.43" 0.001 8.7e-07 "t(66) = 5.43, p < .001"
"1841" 106 1841 "F" "1" "66" "14.32" 0.001 0.000334997 "F(1, 66) = 14.32, p < .001"
"1842" 106 1842 "r" "76" NA "0.29" 0.05 0.010010665 "r(76) = .29, p < .05"
"1843" 106 1843 "r" "76" NA "0.2" 0.08 0.079153509 "r(76) = .20, p = .08"
"1844" 106 1844 "F" "6" "43" "2.24" 0.058 0.057265367 "F(6, 43) = 2.24, p = .058"
"1845" 106 1845 "F" "6" "43" "2.24" 0.06 0.057265367 "F(6, 43) = 2.24, p < .06"
"1846" 107 1846 "t" "378" NA "7.75" 0.001 8.57e-14 "t(378) = 7.75, p < .001"
"1847" 108 1847 "r" "766" NA "0.9" 0.001 1.85e-278 "r(766) = .90, p = .001"
"1848" 108 1848 "r" "89" NA "0.81" 0.001 2.43e-22 "r(89) = .81, p = .001"
"1849" 108 1849 "r" "195" NA "0.98" 0.001 1.1e-138 "r(195) = .98, p = .001"
"1850" 108 1850 "r" "120" NA "0.98" 0.001 5.39e-86 "r(120) = .98, p = .001"
"1851" 108 1851 "r" "322" NA "0.71" 0.001 5.67e-51 "r(322) = .71, p = .001"
"1852" 108 1852 "r" "322" NA "0.79" 0.001 2.17e-70 "r(322) = .79, p = .001"
"1853" 108 1853 "r" "153" NA "0.22" 0.006 0.005948807 "r(153) = .22, p = .006"
"1854" 108 1854 "r" "174" NA "0.27" 0.001 0.000290113 "r(174) = .27, p = .001"
"1855" 108 1855 "r" "224" NA "0.39" 0.001 1.26e-09 "r(224) = .39, p = .001"
"1856" 108 1856 "r" "224" NA "0.23" 0.001 0.000491534 "r(224) = .23, p = .001"
"1857" 108 1857 "r" "224" NA "-0.14" 0.04 0.035434243 "r(224) = -.14, p = .04"
"1858" 108 1858 "r" "313" NA "0.2" 0.001 0.000354687 "r(313) = .20, p = .001"
"1859" 108 1859 "r" "314" NA "-0.14" 0.02 0.012734391 "r(314) = -.14, p = .02"
"1860" 108 1860 "F" "1" "1961" "61.58" 0.001 6.93e-15 "F(1, 1961) = 61.58, p = .001"
"1861" 108 1861 "F" "1" "2345" "0.13" 0.72 0.718464513 "F(1, 2345) = .13, p = .72"
"1862" 108 1862 "r" "313" NA "0.43" 0.001 1.32e-15 "r(313) = .43, p = .001"
"1863" 108 1863 "r" "313" NA "-0.01" 0.88 0.859680234 "r(313) = -.01, p = .88"
"1864" 108 1864 "Z" NA NA "6.9" 0.001 5.2e-12 " z = 6.90, p = .001"
"1865" 108 1865 "r" "313" NA "0.28" 0.001 4.39e-07 "r(313) = .28, p = .001"
"1866" 108 1866 "r" "313" NA "0.32" 0.001 6.23e-09 "r(313) = .32, p = .001"
"1867" 108 1867 "Z" NA NA "0.67" 0.5 0.50285779 " z = .67, p = .50"
"1868" 108 1868 "r" "313" NA "0.24" 0.001 1.66e-05 "r(313) = .24, p = .001"
"1869" 108 1869 "r" "313" NA "0.16" 0.005 0.004416231 "r(313) = .16, p = .005"
"1870" 108 1870 "r" "314" NA "-0.02" 0.76 0.723223266 "r(314) = -.02, p = .76"
"1871" 108 1871 "r" "314" NA "0.04" 0.5 0.47862158 "r(314) = .04, p = .50"
"1872" 108 1872 "Z" NA NA "1.7" 0.09 0.089130926 " z = 1.70, p = .09"
"1873" 108 1873 "Z" NA NA "4.78" 0.001 1.75e-06 " z = 4.78, p = .001"
"1874" 108 1874 "Z" NA NA "3.7" 0.001 0.000215599 " z = 3.70, p = .001"
"1875" 108 1875 "Z" NA NA "7.92" 0.001 2.38e-15 " z = 7.92, p = .001"
"1876" 108 1876 "Z" NA NA "3.36" 0.001 0.000779425 " z = 3.36, p = .001"
"1877" 108 1877 "Z" NA NA "3.64" 0.001 0.000272638 " z = 3.64, p = .001"
"1878" 108 1878 "Z" NA NA "3.63" 0.001 0.000283421 " z = 3.63, p = .001"
"1879" 108 1879 "Z" NA NA "2.14" 0.03 0.032354767 " z = 2.14, p = .03"
"1880" 108 1880 "Z" NA NA "3.85" 0.001 0.000118118 " z = 3.85, p = .001"
"1881" 108 1881 "Z" NA NA "3.09" 0.002 0.002001565 " z = 3.09, p = .002"
"1882" 108 1882 "Z" NA NA "2.04" 0.04 0.041350326 " z = 2.04, p = .04"
"1883" 108 1883 "r" "106" NA "0.72" 0.001 1.62e-18 "r(106) = .72, p = .001"
"1884" 108 1884 "r" "106" NA "0.71" 0.001 7.74e-18 "r(106) = .71, p = .001"
"1885" 108 1885 "t" "103" NA "3.36" 0.001 0.001094033 "t(103) = 3.36, p = .001"
"1886" 108 1886 "t" "103" NA "-3.51" 0.001 0.000666147 "t(103) = -3.51, p = .001"
"1887" 108 1887 "t" "103" NA "-4.33" 0.001 3.47e-05 "t(103) = -4.33, p = .001"
"1888" 108 1888 "t" "103" NA "-2.97" 0.004 0.003705539 "t(103) = -2.97, p = .004"
"1889" 108 1889 "t" "103" NA "-1.38" 0.17 0.170574771 "t(103) = -1.38, p = .17"
"1890" 108 1890 "t" "104" NA "1.94" 0.06 0.05508797 "t(104) = 1.94, p = .06"
"1891" 108 1891 "t" "103" NA "2.73" 0.008 0.007450736 "t(103) = 2.73, p = .008"
"1892" 108 1892 "t" "104" NA "1.45" 0.15 0.150067634 "t(104) = 1.45, p = .15"
"1893" 108 1893 "t" "103" NA "2.14" 0.03 0.034715945 "t(103) = 2.14, p = .03"
"1894" 108 1894 "r" "120" NA "0.56" 0.001 2e-11 "r(120) = .56, p < .001"
"1895" 108 1895 "r" "194" NA "0.5" 0.001 8.57e-14 "r(194) = .50, p < .001"
"1896" 109 1896 "Z" NA NA "-2.2" 0.03 0.027806895 " z = -2.20, p < .03"
"1897" 109 1897 "Z" NA NA "3.45" 0.001 0.000560587 " z = 3.45, p < .001"
"1898" 109 1898 "Z" NA NA "-3.93" 0.001 8.49e-05 " z = -3.93, p < .001"
"1899" 109 1899 "Z" NA NA "2.64" 0.01 0.008290603 " z = 2.64, p < .01"
"1900" 109 1900 "Z" NA NA "3.41" 0.001 0.000649629 " z = 3.41, p < .001"
"1901" 109 1901 "Z" NA NA "3.44" 0.001 0.000581714 " z = 3.44, p < .001"
"1902" 109 1902 "Z" NA NA "2.37" 0.02 0.017788085 " z = 2.37, p < .02"
"1903" 109 1903 "Z" NA NA "-3.25" 0.001 0.00115405 " z = -3.25, p < .001"
"1904" 109 1904 "Z" NA NA "2.08" 0.05 0.037525533 " z = 2.08, p < .05"
"1905" 109 1905 "F" "2" "113" "20.13" 0.001 3.33e-08 "F(2, 113) = 20.13, p < .001"
"1906" 110 1906 "t" "45" NA "9.46" 0.001 2.87e-12 "t(45) = 9.46, p < .001"
"1907" 110 1907 "t" "109" NA "3.25" 0.01 0.001535289 "t(109) = 3.25, p < .01"
"1908" 110 1908 "t" "143" NA "3.07" 0.003 0.002562212 "t(143) = 3.07, p = .003"
"1909" 110 1909 "F" "1" "141" "4.05" 0.046 0.046075701 "F(1, 141) = 4.05, p = .046"
"1910" 110 1910 "F" "1" "141" "13.58" 0.001 0.000325147 "F(1, 141) = 13.58, p < .001"
"1911" 110 1911 "F" "1" "141" "1.49" 0.225 0.224253852 "F(1, 141) = 1.49, p = .225"
"1912" 110 1912 "F" "1" "141" "12.83" 0.001 0.00046869 "F(1, 141) = 12.83, p < .001"
"1913" 110 1913 "F" "1" "141" "5.5" 0.02 0.020410917 "F(1, 141) = 5.50, p = .02"
"1914" 110 1914 "Wald" "1" NA "4.65" 0.031 0.031053547 " Wald = 4.65, p = .031"
"1915" 110 1915 "Wald" "1" NA "3.94" 0.047 0.047150777 " Wald = 3.94, p = .047"
"1916" 110 1916 "t" "109" NA "1" 0.78 0.319525323 "t(109) < 1, p = .78"
"1917" 111 1917 "t" "40" NA "4.12" 0.001 0.000184926 "t(40) = 4.12, p < .001"
"1918" 111 1918 "t" "40" NA "4.76" 0.001 2.54e-05 "t(40) = 4.76, p < .001"
"1919" 111 1919 "t" "100" NA "20.04" 0.001 8.51e-37 "t(100) = 20.04, p < .001"
"1920" 111 1920 "t" "100" NA "5.8" 0.001 7.79e-08 "t(100) = 5.80, p < .001"
"1921" 111 1921 "t" "100" NA "-4.86" 0.001 4.36e-06 "t(100) = -4.86, p < .001"
"1922" 111 1922 "F" "1" "81" "11.55" 0.001 0.00105322 "F(1, 81) = 11.55, p = .001"
"1923" 111 1923 "F" "2" "124" "36.88" 0.001 2.7e-13 "F(2, 124) = 36.88, p < .001"
"1924" 111 1924 "F" "2" "124" "4.92" 0.01 0.008786521 "F(2, 124) = 4.92, p < .01"
"1925" 111 1925 "F" "2" "124" "22.96" 0.001 3.29e-09 "F(2, 124) = 22.96, p < .001"
"1926" 111 1926 "F" "2" "124" "20.06" 0.001 2.83e-08 "F(2, 124) = 20.06, p < .001"
"1927" 111 1927 "F" "2" "124" "35.17" 0.001 7.97e-13 "F(2, 124) = 35.17, p < .001"
"1928" 111 1928 "t" "77" NA "11.84" 0.001 5.14e-19 "t(77) = 11.84, p < .001"
"1929" 111 1929 "t" "77" NA "4.59" 0.001 1.69e-05 "t(77) = 4.59, p < .001"
"1930" 111 1930 "t" "77" NA "2.53" 0.05 0.013447979 "t(77) = 2.53, p < .05"
"1931" 111 1931 "t" "77" NA "2.92" 0.005 0.004589122 "t(77) = 2.92, p = .005"
"1932" 111 1932 "t" "120" NA "11.68" 0.001 1.62e-21 "t(120) = 11.68, p < .001"
"1933" 111 1933 "t" "120" NA "3.36" 0.001 0.001045539 "t(120) = 3.36, p = .001"
"1934" 111 1934 "F" "1" "120" "15.66" 0.001 0.000128844 "F(1, 120) = 15.66, p < .001"
"1935" 111 1935 "t" "120" NA "3.77" 0.001 0.000254737 "t(120) = 3.77, p < .001"
"1936" 111 1936 "t" "120" NA "3.95" 0.001 0.000132354 "t(120) = 3.95, p < .001"
"1937" 111 1937 "F" "1" "99" "16.55" 0.001 9.53e-05 "F(1, 99) = 16.55, p < .001"
"1938" 111 1938 "F" "1" "99" "43.62" 0.001 2.01e-09 "F(1, 99) = 43.62, p < .001"
"1939" 111 1939 "F" "1" "99" "21.88" 0.001 9.2e-06 "F(1, 99) = 21.88, p < .001"
"1940" 111 1940 "F" "1" "99" "15.55" 0.001 0.000150065 "F(1, 99) = 15.55, p < .001"
"1941" 111 1941 "F" "1" "99" "11.01" 0.001 0.00126867 "F(1, 99) = 11.01, p = .001"
"1942" 111 1942 "F" "1" "44" "1" 0.4 0.322778479 "F(1, 44) < 1, p = .40"
"1943" 111 1943 "F" "1" "55" "41.69" 0.001 2.92e-08 "F(1, 55) = 41.69, p < .001"
"1944" 111 1944 "F" "1" "183" "25.74" 0.001 9.54e-07 "F(1, 183) = 25.74, p < .001"
"1945" 111 1945 "F" "1" "183" "79.61" 0.001 4.69e-16 "F(1, 183) = 79.61, p < .001"
"1946" 111 1946 "F" "1" "183" "58.41" 0.001 1.16e-12 "F(1, 183) = 58.41, p < .001"
"1947" 111 1947 "F" "2" "183" "1.85" 0.16 0.160165738 "F(2, 183) = 1.85, p = .16"
"1948" 111 1948 "F" "2" "183" "2.56" 0.08 0.080070944 "F(2, 183) = 2.56, p = .08"
"1949" 111 1949 "F" "2" "85" "4.7" 0.02 0.011587629 "F(2, 85) = 4.70, p < .02"
"1950" 111 1950 "F" "2" "98" "1" 0.93 0.371601714 "F(2, 98)<1, p = .93"
"1951" 111 1951 "F" "1" "183" "27.29" 0.001 4.74e-07 "F(1, 183) = 27.29, p < .001"
"1952" 111 1952 "F" "1" "114" "19.54" 0.001 2.26e-05 "F(1, 114) = 19.54, p < .001"
"1953" 111 1953 "F" "1" "114" "36.78" 0.001 1.76e-08 "F(1, 114) = 36.78, p < .001"
"1954" 111 1954 "F" "1" "114" "30.25" 0.001 2.36e-07 "F(1, 114) = 30.25, p < .001"
"1955" 111 1955 "F" "1" "114" "2.39" 0.13 0.124885219 "F(1, 114) = 2.39, p = .13"
"1956" 111 1956 "F" "1" "114" "4.38" 0.05 0.038581437 "F(1, 114) = 4.38, p < .05"
"1957" 111 1957 "F" "1" "56" "8.36" 0.01 0.00545089 "F(1, 56) = 8.36, p < .01"
"1958" 111 1958 "F" "1" "114" "23.68" 0.001 3.68e-06 "F(1, 114) = 23.68, p < .001"
"1959" 111 1959 "F" "1" "114" "22.74" 0.001 5.53e-06 "F(1, 114) = 22.74, p < .001"
"1960" 111 1960 "F" "1" "114" "17.75" 0.001 5.06e-05 "F(1, 114) = 17.75, p < .001"
"1961" 111 1961 "F" "1" "56" "42.22" 0.001 2.33e-08 "F(1, 56) = 42.22, p < .001"
"1962" 111 1962 "F" "1" "58" "1" 0.65 0.321464383 "F(1, 58) < 1, p = .65"
"1963" 111 1963 "F" "1" "114" "13.08" 0.001 0.000446024 "F(1, 114) = 13.08, p < .001"
"1964" 111 1964 "F" "1" "135" "34.42" 0.001 3.26e-08 "F(1, 135) = 34.42, p < .001"
"1965" 111 1965 "F" "1" "135" "48.29" 0.001 1.42e-10 "F(1, 135) = 48.29, p < .001"
"1966" 111 1966 "F" "1" "135" "35.19" 0.001 2.38e-08 "F(1, 135) = 35.19, p < .001"
"1967" 111 1967 "F" "1" "135" "1.62" 0.21 0.205279396 "F(1, 135) = 1.62, p = .21"
"1968" 111 1968 "F" "1" "135" "3.38" 0.07 0.068189848 "F(1, 135) = 3.38, p < .07"
"1969" 111 1969 "F" "1" "68" "1" 0.7 0.320855787 "F(1, 68)<1, p = .70"
"1970" 111 1970 "F" "1" "67" "5.06" 0.03 0.027774842 "F(1, 67) = 5.06, p < .03"
"1971" 111 1971 "F" "1" "72" "12.35" 0.001 0.000766605 "F(1, 72) = 12.35, p = .001"
"1972" 111 1972 "F" "1" "72" "1.77" 0.19 0.18758064 "F(1, 72) = 1.77, p = .19"
"1973" 111 1973 "F" "1" "72" "4.16" 0.05 0.045059691 "F(1, 72) = 4.16, p < .05"
"1974" 111 1974 "F" "1" "29" "6.75" 0.02 0.014580269 "F(1, 29) = 6.75, p < .02"
"1975" 111 1975 "F" "1" "135" "14.06" 0.001 0.000261755 "F(1, 135) = 14.06, p < .001"
"1976" 112 1976 "t" "108" NA "12.12" 0.001 7.29e-22 "t(108) = 12.12, p < .001"
"1977" 112 1977 "t" "108" NA "4.42" 0.001 2.36e-05 "t(108) = 4.42, p < .001"
"1978" 112 1978 "t" "108" NA "1" 0.96 0.319545783 "t(108) < 1, p = .96"
"1979" 112 1979 "t" "108" NA "1.06" 0.29 0.291509453 "t(108) = 1.06, p = .29"
"1980" 112 1980 "t" "85" NA "9.74" 0.001 1.72e-15 "t(85) = 9.74, p < .001"
"1981" 112 1981 "t" "85" NA "4.79" 0.001 6.99e-06 "t(85) = 4.79, p < .001"
"1982" 112 1982 "t" "85" NA "3.27" 0.002 0.001554049 "t(85) = 3.27, p = .002"
