"Source" "stat_id" "Statistic" "df1" "df2" "Value" "Reported.P.Value" "Computed" "Raw"
"62" 2 62 "F" "1" "87" "1.72" 0.19 0.19314363 "F(1, 87) = 1.72, p = .19"
"63" 2 63 "F" "1" "73" "5.18" 0.03 0.025783053 "F(1, 73) = 5.18, p = .03"
"64" 2 64 "F" "1" "126" "0.12" 0.73 0.729612296 "F(1, 126) = 0.12, p = .73"
"65" 2 65 "t" "126" NA "2.03" 0.04 0.044461999 "t(126) = 2.03, p = .04"
"66" 2 66 "t" "77" NA "2.05" 0.04 0.043768727 "t(77) = 2.05, p = .04"
"67" 2 67 "t" "113" NA "2.05" 0.04 0.042678853 "t(113) 2.05, p = .04"
"68" 2 68 "t" "117" NA "1.78" 0.08 0.077671838 "t(117) = 1.78, p = .08"
"69" 2 69 "t" "83" NA "2.04" 0.04 0.044530227 "t(83) = 2.04, p = .04"
"70" 2 70 "t" "65" NA "2.12" 0.03 0.037828541 "t(65) = 2.12, p = .03"
"71" 2 71 "t" "66" NA "2.65" 0.01 0.01006412 "t(66) = 2.65, p = .01"
"72" 2 72 "Chi2" "1" NA "4.28" 0.04 0.038563348 "d (1) = 4.28, p = .04"
"73" 3 73 "F" "1" "120" "6.96" 0.01 0.009439936 "F(1, 120) = 6.96, p < .01"
"74" 3 74 "F" "1" "120" "14.45" 0.001 0.00022765 "F(1, 120) = 14.45, p < .001"
"75" 3 75 "F" "1" "120" "9.35" 0.001 0.002749872 "F(1, 120) = 9.35, p < .001"
"76" 3 76 "F" "1" "120" "5.91" 0.05 0.016533928 "F(1, 120) = 5.91, p < .05"
"77" 3 77 "F" "1" "120" "4.11" 0.05 0.044845841 "F(1, 120) = 4.11, p < .05"
"78" 3 78 "F" "1" "120" "9.06" 0.01 0.003185272 "F(1, 120) = 9.06, p < .01"
"79" 3 79 "F" "1" "120" "14.26" 0.001 0.000249105 "F(1, 120) = 14.26, p < .001"
"80" 3 80 "F" "1" "120" "7.96" 0.01 0.005598356 "F(1, 120) = 7.96, p < .01"
"81" 3 81 "F" "1" "119" "12.79" 0.001 0.000504824 "F(1, 119) = 12.79, p < .001"
"82" 3 82 "F" "1" "119" "9.6" 0.01 0.002428156 "F(1, 119) = 9.60, p < .01"
"83" 3 83 "F" "1" "119" "25.31" 0.001 1.75e-06 "F(1, 119) = 25.31, p < .001"
"84" 4 84 "F" "1" "75" "4.65" 0.034 0.034259248 "F(1, 75) = 4.65, p = .034"
"85" 4 85 "F" "1" "75" "1.77" 0.187 0.187413281 "F(1, 75) = 1.77, p = .187"
"86" 4 86 "F" "1" "75" "3.81" 0.027 0.054680807 "F(1, 75) = 3.81, p = .027"
"87" 4 87 "F" "2" "75" "3.61" 0.032 0.0318524 "F(2, 75) = 3.61, p = .032"
"88" 4 88 "F" "2" "78" "2.57" 0.083 0.083003942 "F(2, 78) = 2.57, p = .083"
"89" 4 89 "F" "2" "78" "1.89" 0.159 0.157925537 "F(2, 78) = 1.89, p = .159"
"90" 4 90 "F" "2" "78" "2.12" 0.127 0.126896178 "F(2, 78) = 2.12, p = .127"
"91" 4 91 "F" "1" "75" "0.57" 0.452 0.452623259 "F(1, 75) = 0.57, p = .452"
"92" 4 92 "F" "1" "75" "1.46" 0.231 0.230726176 "F(1, 75) = 1.46, p = .231"
"93" 4 93 "F" "1" "75" "0.19" 0.663 0.664168679 "F(1, 75) = 0.19, p = .663"
"94" 4 94 "F" "2" "75" "2.12" 0.127 0.127168594 "F(2, 75) = 2.12, p = .127"
"95" 4 95 "F" "2" "75" "2.04" 0.137 0.137182149 "F(2, 75) = 2.04, p = .137"
"96" 4 96 "F" "2" "75" "1.23" 0.298 0.298120199 "F(2, 75) = 1.23, p = .298"
"97" 4 97 "F" "2" "75" "3.48" 0.036 0.035869412 "F(2, 75) = 3.48, p = .036"
"98" 4 98 "F" "2" "75" "3.63" 0.031 0.031276701 "F(2, 75) = 3.63, p = .031"
"99" 4 99 "F" "2" "75" "4.53" 0.014 0.013889782 "F(2, 75) = 4.53, p = .014"
"100" 4 100 "F" "1" "75" "4.7" 0.034 0.0333353 "F (1, 75) = 4.7, p = .034"
"101" 4 101 "F" "1" "75" "7.42" 0.008 0.00802064 "F (1, 75) = 7.42, p = .008"
"102" 4 102 "F" "1" "75" "6.85" 0.011 0.010716225 "F(1, 75) = 6.85, p = .011"
"103" 5 103 "t" "131" NA "0.28" 0.78 0.779919155 "t(131) = 0.28, p = .78"
"104" 5 104 "t" "65" NA "0.29" 0.78 0.772739373 "t(65) = 0.29, p = .78"
"105" 6 105 "t" "366" NA "11.6" 0 1.04e-26 "t(366) = 11.60, p < .00"
"106" 6 106 "t" "366" NA "-3.23" 0.01 0.00134994 "t(366) = -3.23, p < .01"
"107" 6 107 "t" "370" NA "7.28" 0 2.02e-12 "t(370) = 7.28, p < .00"
"108" 6 108 "t" "371" NA "9.1" 0 5.62e-18 "t(371) = 9.10, p < .00"
"109" 6 109 "t" "370" NA "8.73" 0 8.87e-17 "t(370) = 8.73, p < .00"
"110" 6 110 "t" "370" NA "-8.92" 0 2.18e-17 "t(370) = -8.92, p < .00"
"111" 6 111 "t" "102" NA "-3.13" 0 0.002280145 "t(102) = -3.13, p < .00"
"112" 6 112 "Z" NA NA "-2.81" 0 0.00495415 " z = -2.81, p < .00"
"113" 6 113 "t" "102" NA "2.22" 0.05 0.028632164 "t(102) = 2.22, p < .05"
"114" 6 114 "t" "100" NA "2.41" 0.05 0.01778033 "t(100) = 2.41, p < .05"
"115" 6 115 "t" "97" NA "2.99" 0 0.003535585 "t(97) = 2.99, p < .00"
"116" 6 116 "t" "97" NA "2.11" 0.04 0.037431828 "t(97) = 2.11, p < .04"
"117" 6 117 "t" "96" NA "-2.25" 0.03 0.026732382 "t(96) = -2.25, p < .03"
"118" 6 118 "t" "97" NA "-2.32" 0.03 0.022437163 "t(97) = -2.32, p < .03"
"119" 6 119 "Z" NA NA "-1.94" 0.05 0.05237969 " z = -1.94, p < .05"
"120" 6 120 "Z" NA NA "2.36" 0.02 0.018274935 " z = 2.36, p < .02"
"121" 6 121 "Z" NA NA "-2.37" 0.05 0.017788085 " z = -2.37, p < .05"
"122" 6 122 "Z" NA NA "-2.56" 0.05 0.010467216 " z = -2.56, p < .05"
"123" 6 123 "Z" NA NA "-2.7" 0.05 0.006933948 " z = -2.70, p < .05"
"124" 6 124 "Z" NA NA "0.08" 0.94 0.936237256 " z = 0.08, p = .94"
"125" 6 125 "Z" NA NA "-2.66" 0.05 0.007814065 " z = -2.66, p < .05"
"126" 6 126 "Z" NA NA "-2.46" 0.05 0.013893702 " z = -2.46, p < .05"
"127" 6 127 "Z" NA NA "-2.44" 0.05 0.014687262 " z = -2.44, p < .05"
"128" 7 128 "t" "80" NA "39.91" 0.001 1.4e-54 "t(80) = 39.91, p < .001"
"129" 7 129 "t" "66" NA "-6.58" 0.001 8.98e-09 "t(66) = -6.58, p < .001"
"130" 7 130 "t" "66" NA "-8.68" 0.001 1.61e-12 "t(66) = -8.68, p < .001"
"131" 7 131 "F" "2" "46" "10.31" 0.01 0.000199767 "F(2, 46) = 10.31, p < .01"
"132" 7 132 "F" "2" "55" "6.67" 0.01 0.002549248 "F(2, 55) = 6.67, p < .01"
"133" 7 133 "t" "31" NA "2.11" 0.05 0.043029176 "t(31) = 2.11, p < .05"
"134" 7 134 "t" "28" NA "2.7" 0.05 0.011628527 "t(28) = 2.70, p < .05"
"135" 8 135 "F" "2" "60" "3.84" 0.03 0.026960442 "F(2, 60) = 3.84, p = .03"
"136" 8 136 "F" "2" "60" "7.55" 0.001 0.001189431 "F(2, 60) = 7.55, p = .001"
"137" 8 137 "F" "2" "60" "6.71" 0.002 0.002344802 "F(2, 60) = 6.71, p = .002"
"138" 8 138 "F" "2" "59" "3.95" 0.03 0.024550699 "F(2, 59) = 3.95, p = .03"
"139" 8 139 "F" "1" "40" "6.1" 0.02 0.017882118 "F(1, 40) = 6.10, p = .02"
"140" 8 140 "F" "1" "40" "8.13" 0.007 0.006855107 "F(1, 40) = 8.13, p = .007"
"141" 8 141 "F" "1" "40" "6.69" 0.01 0.013440529 "F(1, 40) = 6.69, p = .01"
"142" 8 142 "F" "1" "40" "18.09" 0.001 0.000123075 "F(1, 40) = 18.09, p < .001"
"143" 8 143 "F" "1" "40" "1.05" 0.31 0.311664349 "F(1, 40) = 1.05, p = .31"
"144" 8 144 "F" "1" "40" "5.64" 0.02 0.022439361 "F(1, 40) = 5.64, p = .02"
"145" 8 145 "F" "1" "40" "4.5" 0.04 0.040141467 "F(1, 40) = 4.50, p = .04"
"146" 8 146 "F" "1" "40" "11.93" 0.001 0.001320362 "F(1, 40) = 11.93, p = .001"
"147" 8 147 "F" "1" "39" "7.22" 0.01 0.010541523 "F(1, 39) = 7.22, p = .01"
"148" 8 148 "F" "1" "40" "21.24" 0.001 4.08e-05 "F(1, 40) = 21.24, p < .001"
"149" 8 149 "F" "1" "39" "13.96" 0.001 0.00059712 "F(1, 39) = 13.96, p = .001"
"150" 8 150 "F" "1" "40" "1.63" 0.21 0.209065421 "F(1, 40) = 1.63, p = .21"
"151" 8 151 "F" "2" "60" "4.88" 0.01 0.010872849 "F(2, 60) = 4.88, p = .01"
"152" 8 152 "F" "1" "40" "2.27" 0.14 0.139757347 "F(1, 40) = 2.27, p = .14"
"153" 8 153 "F" "1" "40" "8.11" 0.007 0.006918058 "F(1, 40) = 8.11, p = .007"
"154" 8 154 "F" "1" "40" "5.79" 0.02 0.020828966 "F(1, 40) = 5.79, p = .02"
"155" 8 155 "F" "1" "40" "12.18" 0.001 0.00119138 "F(1, 40) = 12.18, p < .001"
"156" 8 156 "F" "1" "59" "27.41" 0.001 2.3e-06 "F(1, 59) = 27.41, p < .001"
"157" 8 157 "F" "1" "55" "11.56" 0.001 0.001260869 "F(1, 55) = 11.56, p = .001"
"158" 8 158 "F" "2" "59" "7.08" 0.002 0.001754124 "F(2, 59) = 7.08, p = .002"
"159" 8 159 "F" "2" "55" "3.43" 0.039 0.039464016 "F(2, 55) = 3.43, p = .039"
"160" 8 160 "F" "2" "59" "6.65" 0.002 0.002486306 "F(2, 59) = 6.65, p = .002"
"161" 8 161 "F" "2" "55" "4.96" 0.01 0.0104608 "F(2, 55) = 4.96, p = .01"
"162" 8 162 "F" "2" "59" "7.21" 0.002 0.001579829 "F(2, 59) = 7.21, p = .002"
"163" 8 163 "F" "2" "55" "5.05" 0.01 0.009693861 "F(2, 55) = 5.05, p = .01"
"164" 8 164 "F" "1" "55" "3.86" 0.054 0.054510278 "F(1, 55) = 3.86, p = .054"
"165" 8 165 "F" "1" "55" "14.23" 0.001 0.000397642 "F(1, 55) = 14.23, p < .001"
