"journals";"k1";"k2";"k3";"k4";"k5";"k10";"k20";"overall";"countNA";"amountSig";"nrpapers"
"Overall";"0.577290836653386";"0.605769230769231";"0.653142402545744";"0.687219730941704";"0.722639933166249";"0.77734375";"0.839506172839506";"0.470775482560108";"4340";"6951";"14765"
"DP";"0.660508083140878";"0.668941979522184";"0.698492462311558";"0.75";"0.711656441717791";"0.768595041322314";"0.76";"0.464739378011389";"758";"1061";"2283"
"FP";"0.411764705882353";"0.5";"0.575757575757576";"0.638297872340426";"0.67741935483871";"0.676923076923077";"0.538461538461538";"0.45114006514658";"133";"277";"614"
"JAP";"0.487394957983193";"0.363057324840764";"0.530612244897959";"0.53125";"0.567164179104478";"0.6";"0.6";"0.299435028248588";"488";"371";"1239"
"JCCP";"0.586842105263158";"0.577092511013216";"0.544";"0.696629213483146";"0.663461538461538";"0.724137931034483";"0.875";"0.342815105443845";"907";"699";"2039"
"JEPG";"0.513761467889908";"0.666666666666667";"0.771084337349398";"0.678571428571429";"0.711656441717791";"0.811965811965812";"0.804878048780488";"0.590673575129534";"122";"456";"772"
"JPSP";"0.660071942446043";"0.752358490566038";"0.806451612903226";"0.814393939393939";"0.870824053452116";"0.880872483221476";"0.94047619047619";"0.646195253241987";"840";"2641";"4087"
"PLOS";"0.471976401179941";"0.515570934256055";"0.478260869565217";"0.527027027027027";"0.52445652173913";"0.573394495412844";"0.690909090909091";"0.383656509695291";"565";"831";"2166"
"PS";"0.563739376770538";"0.570815450643777";"0.602484472049689";"0.625";"0.630057803468208";"0.80952380952381";"0";"0.39297124600639";"527";"615";"1565"
