"";"journals";"k1";"k2";"k3";"k4";"k5";"k10";"k20";"overall";"countNA";"amountSig";"nrpapers"
"1";"DP";"0.240134340890008";"0.132075471698113";"0.0825906120023767";"0.0530093870789619";"0.0462337662337662";"0.0753582986592695";"0.761904761904762";"0.464739378011389";"758";"1061";"2283"
"2";"FP";"0.179487179487179";"0.110367892976589";"0.101648351648352";"0.072992700729927";"0.0655021834061135";"0.119349005424955";"0.7";"0.451876019575856";"133";"277";"613"
"3";"JAP";"0.159779614325069";"0.0645526613816535";"0.0530071355759429";"0.0325358851674641";"0.0212373037857802";"0.0478589420654912";"0.666666666666667";"0.299435028248588";"488";"371";"1239"
"4";"JCCP";"0.173271173271173";"0.0865257595772787";"0.0414887126296522";"0.0358796296296296";"0.0234505862646566";"0.056208482370976";"0.928571428571429";"0.342815105443845";"907";"699";"2039"
"5";"JEPG";"0.242424242424242";"0.173076923076923";"0.162025316455696";"0.0842572062084257";"0.0678642714570858";"0.152755905511811";"0.78125";"0.590673575129534";"122";"456";"772"
"6";"JPSP";"0.262893982808023";"0.175274725274725";"0.127255900046275";"0.088659793814433";"0.0750187546886722";"0.197142023913677";"0.9375";"0.646195253241987";"840";"2641";"4087"
"7";"PLOS";"0.1784140969163";"0.125208681135225";"0.061046511627907";"0.0511475409836066";"0.0354957160342717";"0.0819165378670788";"0.68";"0.382624768946396";"569";"828";"2164"
"8";"PS";"0.225769669327252";"0.11981981981982";"0.0763178599527931";"0.0438917337234821";"0.02184637068358";"0.0537216828478964";"0";"0.393085787451985";"526";"614";"1562"
