"";"0.01";"0.03";"0.05";"0.07";"0.09";"0.11";"0.13";"0.15";"0.2";"0.3";"0.4";"0.5";"0.6";"0.7";"0.8";"0.9";"lengthRes"
"1";0,231;0,643;0,863;0,968;0,988;1;1;1;1;1;1;1;1;1;1;1;52
"2";0,434;0,906;0,985;0,998;1;1;1;1;1;1;1;1;1;1;1;1;20
"3";0,442;0,835;0,965;0,994;0,998;1;1;1;1;1;1;1;1;1;1;1;11
"4";0,35;0,802;0,959;0,993;0,999;1;1;1;1;1;1;1;1;1;1;1;19
"5";0,223;0,435;0,583;0,7;0,799;0,865;0,892;0,931;0,967;0,991;0,998;1;1;1;1;1;2
"6";0,646;0,967;0,995;1;1;1;1;1;1;1;1;1;1;1;1;1;23
"7";0,191;0,442;0,604;0,784;0,847;0,91;0,939;0,963;0,987;1;1;1;1;1;1;1;7
"8";0,332;0,832;0,982;1;1;1;1;1;1;1;1;1;1;1;1;1;38
"9";0,795;0,999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;32
"10";0,474;0,895;0,977;0,996;1;1;1;1;1;1;1;1;1;1;1;1;3
"11";0,136;0,257;0,352;0,447;0,558;0,673;0,747;0,806;0,92;0,992;0,999;1;1;1;1;1;4
"12";0,334;0,678;0,835;0,916;0,966;0,977;0,992;0,997;1;1;1;1;1;1;1;1;2
"13";0,16;0,27;0,387;0,465;0,53;0,559;0,648;0,685;0,756;0,873;0,946;0,969;0,995;1;1;1;1
"14";0,228;0,561;0,791;0,908;0,965;0,987;0,995;1;1;1;1;1;1;1;1;1;15
"15";0,263;0,615;0,865;0,96;0,99;0,999;1;1;1;1;1;1;1;1;1;1;29
"16";0,647;0,955;0,991;0,998;1;1;1;1;1;1;1;1;1;1;1;1;3
"17";0,562;0,9;0,973;0,985;0,996;1;1;1;1;1;1;1;1;1;1;1;7
"18";0,829;0,999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;27
"19";0,225;0,516;0,754;0,844;0,933;0,972;0,991;0,988;0,996;1;1;1;1;1;1;1;9
"20";0,323;0,726;0,922;0,975;0,992;0,998;1;1;1;1;1;1;1;1;1;1;15
"21";0,644;0,961;0,993;1;1;1;1;1;1;1;1;1;1;1;1;1;3
"22";0,32;0,727;0,903;0,967;0,988;0,997;1;1;1;1;1;1;1;1;1;1;8
"23";0,704;0,925;0,977;0,994;1;1;1;1;1;1;1;1;1;1;1;1;1
"24";0,414;0,843;0,982;0,995;1;1;1;1;1;1;1;1;1;1;1;1;18
"25";0,243;0,555;0,788;0,883;0,958;0,971;0,995;1;1;1;1;1;1;1;1;1;13
"26";0,295;0,571;0,768;0,879;0,938;0,966;0,975;0,992;0,998;1;1;1;1;1;1;1;4
"27";0,092;0,136;0,141;0,149;0,177;0,165;0,178;0,205;0,251;0,364;0,518;0,705;0,826;0,943;0,995;1;3
"28";0,456;0,956;0,998;1;1;1;1;1;1;1;1;1;1;1;1;1;34
"29";0,538;0,857;0,958;0,986;0,997;1;1;1;1;1;1;1;1;1;1;1;2
"30";0,717;0,997;1;1;1;1;1;1;1;1;1;1;1;1;1;1;48
"31";0,424;0,875;0,976;0,997;1;1;1;1;1;1;1;1;1;1;1;1;16
"32";0,546;0,938;0,992;0,999;1;1;1;1;1;1;1;1;1;1;1;1;9
"33";0,617;0,972;0,998;1;1;1;1;1;1;1;1;1;1;1;1;1;11
"34";0,593;0,958;0,994;0,997;1;1;1;1;1;1;1;1;1;1;1;1;12
"35";0,284;0,579;0,771;0,881;0,951;0,964;0,978;0,992;0,996;1;1;1;1;1;1;1;4
"36";0,135;0,238;0,351;0,46;0,578;0,682;0,737;0,804;0,926;0,994;1;1;1;1;1;1;15
"37";0,207;0,409;0,639;0,773;0,894;0,926;0,968;0,981;0,998;1;1;1;1;1;1;1;7
"38";0,55;0,92;0,98;0,996;1;1;1;1;1;1;1;1;1;1;1;1;5
"39";0,224;0,52;0,74;0,851;0,942;0,971;0,977;0,992;0,999;1;1;1;1;1;1;1;7
"40";0,225;0,502;0,694;0,828;0,89;0,946;0,968;0,977;0,986;0,999;1;1;1;1;1;1;8
"41";0,3;0,738;0,931;0,986;1;1;1;1;1;1;1;1;1;1;1;1;16
"42";0,52;0,961;0,998;1;1;1;1;1;1;1;1;1;1;1;1;1;36
"43";0,225;0,467;0,616;0,662;0,769;0,836;0,847;0,898;0,938;0,975;0,995;1;1;1;1;1;23
"44";0,352;0,799;0,955;0,994;0,999;1;1;1;1;1;1;1;1;1;1;1;23
"45";0,167;0,353;0,482;0,609;0,701;0,799;0,867;0,896;0,952;0,988;0,998;1;1;1;1;1;4
"46";0,15;0,251;0,415;0,502;0,651;0,751;0,822;0,869;0,959;0,995;1;1;1;1;1;1;16
"47";0,408;0,801;0,951;0,985;0,993;0,992;0,999;1;1;1;1;1;1;1;1;1;5
"48";0,281;0,546;0,715;0,828;0,911;0,94;0,973;0,98;0,994;1;1;1;1;1;1;1;3
"49";0,306;0,663;0,851;0,937;0,974;0,983;0,99;0,997;1;1;1;1;1;1;1;1;7
"50";0,399;0,664;0,809;0,87;0,915;0,943;0,962;0,976;0,988;1;1;1;1;1;1;1;1
"51";0,148;0,243;0,289;0,372;0,431;0,516;0,575;0,59;0,685;0,807;0,892;0,957;0,983;0,997;1;1;1
"52";0,345;0,676;0,839;0,919;0,953;0,98;0,992;0,991;0,996;1;1;1;1;1;1;1;2
"53";0,646;0,932;0,968;0,988;0,99;0,998;1;1;1;1;1;1;1;1;1;1;11
"54";0,157;0,37;0,455;0,587;0,691;0,751;0,806;0,834;0,904;0,968;0,994;0,998;1;1;1;1;13
"55";0,386;0,868;0,983;0,994;1;1;1;1;1;1;1;1;1;1;1;1;25
"56";0,259;0,467;0,616;0,704;0,77;0,798;0,866;0,887;0,931;0,981;0,996;1;1;1;1;1;1
"57";0,756;0,968;0,998;1;1;1;1;1;1;1;1;1;1;1;1;1;2
"58";0,203;0,375;0,475;0,567;0,662;0,726;0,765;0,813;0,871;0,937;0,975;0,995;1;1;1;1;1
"59";0,414;0,907;0,988;1;1;1;1;1;1;1;1;1;1;1;1;1;24
"60";0,63;0,958;0,996;1;1;1;1;1;1;1;1;1;1;1;1;1;7
"61";0,451;0,842;0,934;0,975;0,993;0,994;1;1;1;1;1;1;1;1;1;1;4
"62";0,466;0,829;0,951;0,98;0,991;0,995;1;1;1;1;1;1;1;1;1;1;3
"63";0,393;0,824;0,963;0,992;0,998;1;1;1;1;1;1;1;1;1;1;1;9
"64";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
"65";0,194;0,37;0,501;0,655;0,724;0,802;0,838;0,88;0,947;0,98;0,998;1;1;1;1;1;1
"66";0,572;0,958;0,996;1;1;1;1;1;1;1;1;1;1;1;1;1;13
"67";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7
"68";0,171;0,316;0,492;0,61;0,743;0,784;0,871;0,932;0,969;0,997;1;1;1;1;1;1;6
"69";0,714;0,945;0,989;0,997;1;1;1;1;1;1;1;1;1;1;1;1;2
"70";0,287;0,676;0,892;0,962;0,987;0,997;1;1;1;1;1;1;1;1;1;1;19
"71";0,268;0,621;0,863;0,938;0,986;0,997;1;1;1;1;1;1;1;1;1;1;19
"72";0,199;0,505;0,701;0,819;0,897;0,939;0,965;0,98;0,997;1;1;1;1;1;1;1;7
"73";0,427;0,878;0,985;0,996;1;1;1;1;1;1;1;1;1;1;1;1;23
"74";0,317;0,753;0,936;0,984;0,995;1;1;1;1;1;1;1;1;1;1;1;25
"75";0,294;0,764;0,968;0,992;0,999;1;1;1;1;1;1;1;1;1;1;1;56
"76";0,686;0,961;0,995;1;1;1;1;1;1;1;1;1;1;1;1;1;2
"77";0,393;0,854;0,978;0,998;1;1;1;1;1;1;1;1;1;1;1;1;32
"78";0,279;0,697;0,903;0,968;0,991;0,999;1;1;1;1;1;1;1;1;1;1;15
"79";0,229;0,567;0,777;0,906;0,965;0,984;0,994;0,998;1;1;1;1;1;1;1;1;25
"80";0,607;0,988;1;1;1;1;1;1;1;1;1;1;1;1;1;1;80
"81";0,651;0,998;1;1;1;1;1;1;1;1;1;1;1;1;1;1;68
"82";0,376;0,68;0,833;0,926;0,96;0,976;0,987;0,997;1;1;1;1;1;1;1;1;32
"83";0,77;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;61
"84";0,59;0,98;1;1;1;1;1;1;1;1;1;1;1;1;1;1;47
"85";0,134;0,244;0,342;0,496;0,601;0,692;0,77;0,841;0,935;0,989;0,997;1;1;1;1;1;6
"86";0,432;0,934;0,999;1;1;1;1;1;1;1;1;1;1;1;1;1;64
"87";0,445;0,92;0,999;1;1;1;1;1;1;1;1;1;1;1;1;1;37
"88";0,68;0,997;1;1;1;1;1;1;1;1;1;1;1;1;1;1;52
"89";0,579;0,957;0,99;0,998;1;1;1;1;1;1;1;1;1;1;1;1;8
"90";0,999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;58
"91";0,19;0,422;0,587;0,719;0,791;0,85;0,916;0,932;0,965;0,997;1;1;1;1;1;1;11
"92";0,248;0,574;0,787;0,896;0,961;0,985;0,992;0,994;1;1;1;1;1;1;1;1;15
"93";0,176;0,373;0,524;0,693;0,835;0,909;0,959;0,977;0,995;1;1;1;1;1;1;1;18
"94";0,431;0,828;0,973;0,992;0,998;1;1;1;1;1;1;1;1;1;1;1;16
"95";0,888;0,995;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"96";0,291;0,583;0,797;0,93;0,948;0,976;0,993;0,992;0,999;1;1;1;1;1;1;1;9
"97";0,345;0,777;0,962;0,989;0,998;1;1;1;1;1;1;1;1;1;1;1;20
"98";0,309;0,626;0,789;0,874;0,922;0,965;0,982;0,99;0,996;1;1;1;1;1;1;1;13
"99";0,485;0,925;0,994;1;1;1;1;1;1;1;1;1;1;1;1;1;40
"100";0,562;0,94;0,994;0,998;1;1;1;1;1;1;1;1;1;1;1;1;9
"101";0,975;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25
"102";0,952;0,996;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9
"103";0,987;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;56
"104";0,576;0,932;0,992;0,999;1;1;1;1;1;1;1;1;1;1;1;1;27
"105";0,91;0,967;0,993;0,998;1;1;1;1;1;1;1;1;1;1;1;1;17
"106";0,23;0,488;0,717;0,843;0,902;0,962;0,981;0,995;1;1;1;1;1;1;1;1;9
"107";0,391;0,641;0,78;0,869;0,884;0,931;0,952;0,965;0,99;1;1;1;1;1;1;1;1
"108";0,934;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;49
"109";0,191;0,339;0,425;0,539;0,61;0,674;0,717;0,765;0,815;0,926;0,971;0,992;1;1;1;1;10
"110";0,39;0,803;0,943;0,981;0,986;0,994;0,998;1;1;1;1;1;1;1;1;1;11
"111";0,738;0,999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;59
"112";0,524;0,967;1;1;1;1;1;1;1;1;1;1;1;1;1;1;29
"113";0,995;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;15
"114";0,497;0,925;0,989;0,999;1;1;1;1;1;1;1;1;1;1;1;1;24
